,Time,Blink
0,09.57.9118,37.0
1,09.57.9438,36.0
2,09.57.9578,35.333333333333336
3,09.57.9688,34.333333333333336
4,09.57.9908,35.0
5,09.58.0018,36.0
6,09.58.0228,37.666666666666664
7,09.58.1847,37.666666666666664
8,09.58.1977,37.0
9,09.58.2157,34.666666666666664
10,09.58.2296,33.0
11,09.58.3566,35.0
12,09.58.3736,37.0
13,09.58.3856,38.0
14,09.58.4035,37.0
15,09.58.4215,37.333333333333336
16,09.58.4355,38.0
17,09.58.4525,37.666666666666664
18,09.58.4685,36.0
19,09.58.4845,36.0
20,09.58.5005,36.666666666666664
21,09.58.5165,38.333333333333336
22,09.58.5315,38.666666666666664
23,09.58.5615,38.0
24,09.58.5804,37.666666666666664
25,09.58.5914,37.666666666666664
26,09.58.6024,38.0
27,09.58.6264,37.0
28,09.58.6374,36.666666666666664
29,09.58.6584,36.666666666666664
30,09.58.6694,37.333333333333336
31,09.58.6914,37.333333333333336
32,09.58.7064,36.0
33,09.58.7234,36.0
34,09.58.7384,33.333333333333336
35,09.58.7543,31.333333333333332
36,09.58.7703,28.666666666666668
37,09.58.7863,28.333333333333332
38,09.58.8013,27.333333333333332
39,09.58.8163,25.666666666666668
40,09.58.8333,24.333333333333332
41,09.58.8483,24.0
42,09.58.8653,25.0
43,09.58.8813,26.0
44,09.58.8963,27.333333333333332
45,09.58.9113,29.666666666666668
46,09.58.9262,30.666666666666668
47,09.58.9422,32.333333333333336
48,09.58.9772,33.666666666666664
49,09.58.9912,35.0
50,09.59.0062,35.333333333333336
51,09.59.0212,34.0
52,09.59.0412,34.333333333333336
53,09.59.0542,34.666666666666664
54,09.59.0732,36.0
55,09.59.0862,37.0
56,09.59.1031,38.0
57,09.59.1181,38.0
58,09.59.1341,38.333333333333336
59,09.59.1511,38.666666666666664
60,09.59.1661,39.0
61,09.59.1861,37.666666666666664
62,09.59.1991,36.0
63,09.59.2131,35.333333333333336
64,09.59.2301,36.666666666666664
65,09.59.2451,36.666666666666664
66,09.59.2621,36.666666666666664
67,09.59.2820,36.0
68,09.59.2930,37.333333333333336
69,09.59.3070,37.0
70,09.59.3230,36.0
71,09.59.3450,36.0
72,09.59.3700,36.333333333333336
73,09.59.3940,37.333333333333336
74,09.59.4070,36.0
75,09.59.4220,36.0
76,09.59.4340,36.0
77,09.59.4509,36.0
78,09.59.4659,36.0
79,09.59.4899,36.0
80,09.59.5019,37.333333333333336
81,09.59.5149,36.333333333333336
82,09.59.5299,36.333333333333336
83,09.59.5469,36.0
84,09.59.5619,37.333333333333336
85,09.59.5779,37.333333333333336
86,09.59.5949,37.0
87,09.59.6069,36.333333333333336
88,09.59.6188,36.666666666666664
89,09.59.6408,38.0
90,09.59.6528,38.0
91,09.59.6728,37.333333333333336
92,09.59.6978,36.666666666666664
93,09.59.7218,36.666666666666664
94,09.59.7328,36.666666666666664
95,09.59.7618,37.333333333333336
96,09.59.7858,38.666666666666664
97,09.59.7987,39.666666666666664
98,09.59.8167,39.666666666666664
99,09.59.8327,38.333333333333336
100,09.59.8477,37.333333333333336
101,09.59.8587,36.0
102,09.59.8707,37.333333333333336
103,09.59.8927,38.666666666666664
104,09.59.9057,39.333333333333336
105,09.59.9247,37.666666666666664
106,09.59.9407,37.0
107,09.59.9567,36.333333333333336
108,09.59.9736,37.333333333333336
109,09.59.9866,36.333333333333336
110,10.00.0046,37.0
111,10.00.0216,37.0
112,10.00.0336,38.0
113,10.00.0446,37.333333333333336
114,10.00.0686,36.333333333333336
115,10.00.0836,35.666666666666664
116,10.00.0986,36.333333333333336
117,10.00.1146,36.333333333333336
118,10.00.1306,37.0
119,10.00.1455,37.333333333333336
120,10.00.1775,37.333333333333336
121,10.00.1935,36.333333333333336
122,10.00.2085,36.0
123,10.00.2205,37.0
124,10.00.2405,38.0
125,10.00.2555,37.0
126,10.00.2725,36.0
127,10.00.2875,36.0
128,10.00.3035,37.0
129,10.00.3224,37.333333333333336
130,10.00.3364,36.333333333333336
131,10.00.3514,32.666666666666664
132,10.00.3664,29.333333333333332
133,10.00.3864,24.333333333333332
134,10.00.3994,23.333333333333332
135,10.00.4214,22.333333333333332
136,10.00.4454,23.666666666666668
137,10.00.4554,23.666666666666668
138,10.00.4774,24.666666666666668
139,10.00.4883,24.333333333333332
140,10.00.5073,25.0
141,10.00.5223,25.0
142,10.00.5383,27.0
143,10.00.5553,28.333333333333332
144,10.00.5673,30.666666666666668
145,10.00.5783,33.0
146,10.00.6033,34.0
147,10.00.6253,35.0
148,10.00.6363,34.0
149,10.00.6503,35.0
150,10.00.6652,34.666666666666664
151,10.00.6812,35.333333333333336
152,10.00.6962,36.0
153,10.00.7122,36.0
154,10.00.7372,37.0
155,10.00.7592,37.0
156,10.00.7752,38.0
157,10.00.7872,38.0
158,10.00.8082,37.0
159,10.00.8202,36.0
160,10.00.8391,35.0
161,10.00.8561,36.0
162,10.00.8711,36.0
163,10.00.8881,35.666666666666664
164,10.00.9001,35.666666666666664
165,10.00.9191,36.666666666666664
166,10.00.9341,37.0
167,10.00.9511,37.0
168,10.00.9621,36.0
169,10.00.9821,35.666666666666664
170,10.00.9951,34.666666666666664
171,10.01.0150,34.666666666666664
172,10.01.0420,35.0
173,10.01.0530,36.0
174,10.01.0770,36.0
175,10.01.0880,36.0
176,10.01.1090,36.0
177,10.01.1250,37.0
178,10.01.1370,38.0
179,10.01.1570,38.0
180,10.01.1730,37.0
181,10.01.1889,37.0
182,10.01.2049,37.0
183,10.01.2209,38.333333333333336
184,10.01.2379,38.333333333333336
185,10.01.2519,38.333333333333336
186,10.01.2689,37.666666666666664
187,10.01.2849,36.666666666666664
188,10.01.3009,36.666666666666664
189,10.01.3169,37.0
190,10.01.3339,37.0
191,10.01.3618,36.0
192,10.01.3808,35.0
193,10.01.3968,35.0
194,10.01.4128,36.0
195,10.01.4278,37.0
196,10.01.4398,36.666666666666664
197,10.01.4588,36.333333333333336
198,10.01.4698,36.333333333333336
199,10.01.4928,36.666666666666664
200,10.01.5038,36.666666666666664
201,10.01.5228,36.333333333333336
202,10.01.5367,37.0
203,10.01.5527,37.0
204,10.01.5697,37.0
205,10.01.5857,37.0
206,10.01.6007,37.333333333333336
207,10.01.6177,36.666666666666664
208,10.01.6307,37.0
209,10.01.6487,37.0
210,10.01.6657,38.0
211,10.01.6787,38.0
212,10.01.6957,38.0
213,10.01.7116,37.0
214,10.01.7296,37.0
215,10.01.7616,36.0
216,10.01.7746,36.666666666666664
217,10.01.7916,36.333333333333336
218,10.01.8066,37.0
219,10.01.8226,37.333333333333336
220,10.01.8346,37.333333333333336
221,10.01.8526,37.666666666666664
222,10.01.8736,37.666666666666664
223,10.01.9005,36.666666666666664
224,10.01.9145,35.666666666666664
225,10.01.9315,36.0
226,10.01.9475,32.666666666666664
227,10.01.9645,29.666666666666668
228,10.01.9795,24.333333333333332
229,10.01.9955,24.0
230,10.02.0115,23.0
231,10.02.0275,23.0
232,10.02.0395,23.333333333333332
