,Time,Blink
0,59.35.0972,41.0
1,59.35.1322,41.0
2,59.35.1471,38.333333333333336
3,59.35.1701,37.666666666666664
4,59.35.1811,37.0
5,59.35.3460,39.0
6,59.35.3920,38.333333333333336
7,59.35.4040,36.666666666666664
8,59.35.4200,33.0
9,59.35.5319,34.333333333333336
10,59.35.5429,36.0
11,59.35.5659,39.0
12,59.35.5769,37.666666666666664
13,59.35.6009,35.666666666666664
14,59.35.6119,35.666666666666664
15,59.35.6269,34.333333333333336
16,59.35.6429,34.333333333333336
17,59.35.6589,34.333333333333336
18,59.35.6738,35.0
19,59.35.6908,36.333333333333336
20,59.35.7078,35.666666666666664
21,59.35.7228,35.666666666666664
22,59.35.7378,35.0
23,59.35.7558,35.666666666666664
24,59.35.7678,34.666666666666664
25,59.35.8028,34.666666666666664
26,59.35.8158,34.0
27,59.35.8318,35.0
28,59.35.8428,35.0
29,59.35.8618,34.0
30,59.35.8787,34.666666666666664
31,59.35.8987,35.333333333333336
32,59.35.9097,37.0
33,59.35.9257,37.0
34,59.35.9407,37.0
35,59.35.9627,37.0
36,59.35.9887,37.0
37,59.36.0146,35.0
38,59.36.0376,32.333333333333336
39,59.36.0586,29.666666666666668
40,59.36.0846,27.666666666666668
41,59.36.1066,28.0
42,59.36.1386,28.333333333333332
43,59.36.1656,28.666666666666668
44,59.36.1776,28.666666666666668
45,59.36.1975,29.0
46,59.36.2125,30.333333333333332
47,59.36.2285,30.333333333333332
48,59.36.2455,29.666666666666668
49,59.36.2595,32.333333333333336
50,59.36.2755,33.333333333333336
51,59.36.2925,36.0
52,59.36.3075,35.666666666666664
53,59.36.3235,35.666666666666664
54,59.36.3395,34.333333333333336
55,59.36.3505,33.0
56,59.36.3624,34.333333333333336
57,59.36.3874,35.666666666666664
58,59.36.4034,37.0
59,59.36.4204,37.0
60,59.36.4354,37.0
61,59.36.4474,37.0
62,59.36.4654,37.0
63,59.36.4814,37.0
64,59.36.4974,37.0
65,59.36.5144,37.0
66,59.36.5294,37.333333333333336
67,59.36.5454,37.333333333333336
68,59.36.5614,38.333333333333336
69,59.36.5863,39.0
70,59.36.6093,40.0
71,59.36.6203,40.0
72,59.36.6313,40.0
73,59.36.6423,40.0
74,59.36.6553,40.0
75,59.36.6713,40.0
76,59.36.6873,41.333333333333336
77,59.36.7043,41.333333333333336
78,59.36.7302,41.333333333333336
79,59.36.7502,40.0
80,59.36.7652,40.0
81,59.36.7812,40.0
82,59.36.7952,40.0
83,59.36.8132,39.666666666666664
84,59.36.8292,35.333333333333336
85,59.36.8452,32.0
86,59.36.8612,29.333333333333332
87,59.36.8772,30.333333333333332
88,59.36.8932,29.0
89,59.36.9092,28.666666666666668
90,59.36.9381,28.666666666666668
91,59.36.9571,30.0
92,59.36.9731,31.0
93,59.36.9901,32.333333333333336
94,59.37.0051,32.333333333333336
95,59.37.0221,31.333333333333332
96,59.37.0371,29.0
97,59.37.0521,28.0
98,59.37.0681,26.666666666666668
99,59.37.0840,27.666666666666668
100,59.37.1000,28.666666666666668
101,59.37.1160,32.333333333333336
102,59.37.1320,34.666666666666664
103,59.37.1480,37.666666666666664
104,59.37.1660,38.333333333333336
105,59.37.1790,39.0
106,59.37.1940,39.333333333333336
107,59.37.2110,39.333333333333336
108,59.37.2260,39.333333333333336
109,59.37.2439,39.0
110,59.37.2580,39.0
111,59.37.2739,37.666666666666664
112,59.37.2899,37.666666666666664
113,59.37.3059,36.333333333333336
114,59.37.3219,37.666666666666664
115,59.37.3539,37.666666666666664
116,59.37.3699,39.0
117,59.37.3859,37.666666666666664
118,59.37.4019,37.666666666666664
119,59.37.4188,37.0
120,59.37.4309,38.333333333333336
121,59.37.4508,37.666666666666664
122,59.37.4628,38.333333333333336
123,59.37.4788,38.333333333333336
124,59.37.4938,40.0
125,59.37.5108,39.333333333333336
126,59.37.5258,39.333333333333336
127,59.37.5428,37.0
128,59.37.5578,37.666666666666664
129,59.37.5748,37.666666666666664
130,59.37.5897,37.666666666666664
131,59.37.6067,37.666666666666664
132,59.37.6217,37.0
133,59.37.6377,39.333333333333336
134,59.37.6587,40.666666666666664
135,59.37.6707,42.333333333333336
136,59.37.6857,41.333333333333336
137,59.37.7017,39.333333333333336
138,59.37.7227,39.333333333333336
139,59.37.7337,40.333333333333336
140,59.37.7547,40.333333333333336
141,59.37.7657,39.333333333333336
142,59.37.7866,37.666666666666664
143,59.37.8146,38.0
144,59.37.8306,38.0
145,59.37.8476,38.666666666666664
146,59.37.8686,38.333333333333336
147,59.37.8816,39.0
148,59.37.8936,39.666666666666664
149,59.37.9056,41.0
150,59.37.9306,39.666666666666664
151,59.37.9425,38.333333333333336
152,59.37.9545,38.333333333333336
153,59.37.9785,39.666666666666664
154,59.38.0065,39.666666666666664
155,59.38.0185,39.333333333333336
156,59.38.0375,39.333333333333336
157,59.38.0515,40.666666666666664
158,59.38.0665,41.0
159,59.38.0815,40.666666666666664
160,59.38.0975,40.333333333333336
161,59.38.1135,40.333333333333336
162,59.38.1385,39.0
163,59.38.1624,39.333333333333336
164,59.38.1774,37.666666666666664
165,59.38.1934,39.333333333333336
166,59.38.2094,38.0
167,59.38.2234,39.666666666666664
168,59.38.2394,39.666666666666664
169,59.38.2554,41.0
170,59.38.2714,41.0
171,59.38.2873,39.666666666666664
172,59.38.3024,39.666666666666664
173,59.38.3173,39.666666666666664
174,59.38.3333,41.0
175,59.38.3493,39.666666666666664
176,59.38.3653,38.333333333333336
177,59.38.3823,36.666666666666664
178,59.38.3973,38.0
179,59.38.4103,38.0
180,59.38.4223,38.333333333333336
181,59.38.4453,36.666666666666664
182,59.38.4612,37.333333333333336
183,59.38.4772,38.333333333333336
184,59.38.4932,38.333333333333336
185,59.38.5042,37.0
186,59.38.5252,37.0
187,59.38.5542,36.666666666666664
188,59.38.5732,38.333333333333336
189,59.38.5892,37.0
190,59.38.6052,37.0
191,59.38.6182,37.0
192,59.38.6351,37.0
193,59.38.6511,38.666666666666664
194,59.38.6671,37.333333333333336
195,59.38.6831,37.0
196,59.38.6991,35.333333333333336
197,59.38.7121,35.333333333333336
198,59.38.7331,35.666666666666664
199,59.38.7471,35.666666666666664
200,59.38.7631,36.333333333333336
201,59.38.7791,36.0
202,59.38.7951,36.0
203,59.38.8110,36.0
204,59.38.8260,37.333333333333336
205,59.38.8420,38.333333333333336
206,59.38.8580,37.333333333333336
207,59.38.8740,36.0
208,59.38.8900,35.333333333333336
209,59.38.9050,35.333333333333336
210,59.38.9230,37.0
211,59.38.9370,37.333333333333336
212,59.38.9710,38.333333333333336
213,59.38.9829,37.333333333333336
214,59.39.0029,37.666666666666664
215,59.39.0159,36.333333333333336
216,59.39.0319,36.333333333333336
217,59.39.0429,36.0
218,59.39.0639,37.333333333333336
219,59.39.0749,37.333333333333336
220,59.39.0959,36.0
221,59.39.1109,35.333333333333336
222,59.39.1279,35.0
223,59.39.1429,36.0
224,59.39.1598,36.0
225,59.39.1748,36.0
226,59.39.1918,35.666666666666664
227,59.39.2108,35.333333333333336
228,59.39.2368,35.0
229,59.39.2528,35.0
230,59.39.2698,35.0
231,59.39.2848,34.666666666666664
232,59.39.3018,34.666666666666664
233,59.39.3178,34.666666666666664
234,59.39.3337,34.666666666666664
235,59.39.3497,35.333333333333336
236,59.39.3657,36.0
237,59.39.3777,37.0
238,59.39.3977,37.0
239,59.39.4207,37.0
240,59.39.4437,35.666666666666664
241,59.39.4587,35.0
242,59.39.4747,35.666666666666664
243,59.39.4907,36.333333333333336
244,59.39.5076,36.0
245,59.39.5236,35.666666666666664
246,59.39.5396,35.666666666666664
247,59.39.5566,37.0
248,59.39.5706,37.0
249,59.39.5876,37.0
250,59.39.6036,36.0
251,59.39.6186,35.0
252,59.39.6346,36.0
253,59.39.6506,36.666666666666664
254,59.39.6666,37.333333333333336
255,59.39.6825,37.0
256,59.39.6985,37.0
257,59.39.7095,37.0
258,59.39.7305,36.333333333333336
259,59.39.7415,36.333333333333336
260,59.39.7625,36.0
261,59.39.7785,36.333333333333336
262,59.39.7925,36.333333333333336
263,59.39.8095,36.666666666666664
264,59.39.8345,37.0
265,59.39.8545,37.666666666666664
266,59.39.8704,37.666666666666664
267,59.39.8864,38.333333333333336
268,59.39.8994,37.333333333333336
269,59.39.9174,38.0
270,59.39.9344,38.0
271,59.39.9494,38.0
272,59.39.9654,38.0
273,59.39.9834,37.0
274,59.39.9974,37.0
275,59.40.0094,36.0
276,59.40.0293,37.0
277,59.40.0443,38.333333333333336
278,59.40.0603,38.666666666666664
279,59.40.0763,37.666666666666664
280,59.40.0933,38.0
281,59.40.1043,38.0
282,59.40.1393,37.666666666666664
283,59.40.1553,36.666666666666664
284,59.40.1713,36.0
285,59.40.1883,37.0
286,59.40.2032,37.0
287,59.40.2202,39.0
288,59.40.2362,38.333333333333336
289,59.40.2522,39.0
290,59.40.2672,38.0
291,59.40.2812,38.666666666666664
292,59.40.2982,38.0
293,59.40.3132,39.0
294,59.40.3312,38.666666666666664
295,59.40.3472,38.666666666666664
296,59.40.3612,38.666666666666664
297,59.40.3781,39.0
298,59.40.3931,39.0
299,59.40.4101,38.666666666666664
300,59.40.4231,38.666666666666664
301,59.40.4421,38.666666666666664
302,59.40.4591,38.0
303,59.40.4741,38.0
304,59.40.4881,37.333333333333336
305,59.40.5051,37.0
306,59.40.5201,37.0
307,59.40.5550,37.666666666666664
308,59.40.5680,37.333333333333336
309,59.40.5850,36.666666666666664
310,59.40.6000,36.0
311,59.40.6180,37.0
312,59.40.6310,37.333333333333336
313,59.40.6420,39.0
314,59.40.6670,38.666666666666664
315,59.40.6950,38.333333333333336
316,59.40.7110,36.666666666666664
317,59.40.7269,36.666666666666664
318,59.40.7419,36.666666666666664
319,59.40.7589,36.666666666666664
320,59.40.7749,36.666666666666664
321,59.40.7909,36.666666666666664
322,59.40.8069,37.0
323,59.40.8229,36.333333333333336
324,59.40.8389,37.0
325,59.40.8549,36.666666666666664
326,59.40.8699,37.333333333333336
327,59.40.8869,37.333333333333336
328,59.40.9018,38.333333333333336
329,59.40.9188,37.666666666666664
330,59.40.9328,37.666666666666664
331,59.40.9488,37.0
332,59.40.9708,38.666666666666664
333,59.40.9968,38.333333333333336
334,59.41.0118,38.666666666666664
335,59.41.0268,38.666666666666664
336,59.41.0418,38.666666666666664
337,59.41.0578,38.0
338,59.41.0747,37.333333333333336
339,59.41.0907,36.666666666666664
340,59.41.1067,36.0
341,59.41.1217,31.666666666666668
342,59.41.1357,28.666666666666668
343,59.41.1517,26.0
344,59.41.1677,26.0
345,59.41.1797,26.333333333333332
346,59.41.1997,26.0
347,59.41.2157,27.0
348,59.41.2317,28.666666666666668
349,59.41.2437,31.333333333333332
350,59.41.2636,33.333333333333336
351,59.41.2756,34.0
352,59.41.2946,34.333333333333336
353,59.41.3066,34.0
354,59.41.3256,35.0
355,59.41.3416,36.0
356,59.41.3586,37.0
357,59.41.3866,37.333333333333336
358,59.41.4056,37.666666666666664
359,59.41.4196,38.0
360,59.41.4375,33.0
361,59.41.4505,29.0
362,59.41.4705,25.0
363,59.41.4855,26.0
364,59.41.5015,26.0
365,59.41.5175,25.333333333333332
366,59.41.5325,25.333333333333332
367,59.41.5475,26.0
368,59.41.5635,27.333333333333332
369,59.41.5795,29.333333333333332
370,59.41.5955,31.333333333333332
371,59.41.6114,33.333333333333336
372,59.41.6274,34.0
373,59.41.6434,35.0
374,59.41.6584,36.0
375,59.41.6734,37.0
376,59.41.6904,37.0
377,59.41.7064,37.0
378,59.41.7234,37.0
379,59.41.7384,37.0
380,59.41.7544,37.0
381,59.41.7684,37.0
382,59.41.8023,37.0
383,59.41.8163,37.0
384,59.41.8343,36.666666666666664
385,59.41.8483,36.666666666666664
386,59.41.8663,36.666666666666664
387,59.41.8813,38.0
388,59.41.8993,37.666666666666664
389,59.41.9093,37.333333333333336
390,59.41.9213,36.333333333333336
391,59.41.9443,36.666666666666664
392,59.41.9612,37.0
393,59.41.9762,37.0
394,59.41.9932,37.0
395,59.42.0092,37.0
396,59.42.0252,37.0
397,59.42.0402,37.0
398,59.42.0562,37.0
399,59.42.0752,37.666666666666664
400,59.42.0882,38.333333333333336
401,59.42.1072,38.333333333333336
402,59.42.1192,37.666666666666664
403,59.42.1391,36.666666666666664
404,59.42.1651,37.0
405,59.42.1771,36.666666666666664
406,59.42.1971,36.666666666666664
407,59.42.2131,36.333333333333336
408,59.42.2291,36.666666666666664
409,59.42.2441,36.666666666666664
410,59.42.2591,36.666666666666664
411,59.42.2751,37.333333333333336
412,59.42.2901,37.333333333333336
413,59.42.3150,37.333333333333336
414,59.42.3270,37.666666666666664
415,59.42.3540,37.0
416,59.42.3690,37.0
417,59.42.3840,35.333333333333336
418,59.42.4000,36.0
419,59.42.4130,36.666666666666664
420,59.42.4240,37.0
421,59.42.4480,37.333333333333336
422,59.42.4640,36.666666666666664
423,59.42.4749,37.0
424,59.42.4939,36.666666666666664
425,59.42.5099,36.666666666666664
426,59.42.5249,37.0
427,59.42.5399,36.333333333333336
428,59.42.5569,36.666666666666664
429,59.42.5879,36.333333333333336
430,59.42.6039,38.333333333333336
431,59.42.6199,38.0
432,59.42.6349,38.0
433,59.42.6508,37.0
434,59.42.6668,37.0
435,59.42.6828,37.0
436,59.42.6988,37.0
437,59.42.7118,37.0
438,59.42.7308,37.0
439,59.42.7428,37.0
440,59.42.7628,37.333333333333336
441,59.42.7788,37.666666666666664
442,59.42.7948,37.666666666666664
443,59.42.8118,37.333333333333336
444,59.42.8267,37.0
445,59.42.8407,37.333333333333336
446,59.42.8567,37.333333333333336
447,59.42.8687,37.666666666666664
448,59.42.8887,37.333333333333336
449,59.42.9037,37.333333333333336
450,59.42.9387,37.0
451,59.42.9517,36.0
452,59.42.9667,36.0
453,59.42.9817,36.333333333333336
454,59.43.0026,37.333333333333336
455,59.43.0296,38.666666666666664
456,59.43.0436,37.333333333333336
457,59.43.0606,37.333333333333336
458,59.43.0756,36.333333333333336
459,59.43.0916,37.666666666666664
460,59.43.1076,37.666666666666664
461,59.43.1226,37.666666666666664
462,59.43.1386,36.333333333333336
463,59.43.1506,36.666666666666664
464,59.43.1686,36.333333333333336
465,59.43.1835,36.0
466,59.43.1995,37.0
467,59.43.2155,37.0
468,59.43.2315,38.666666666666664
469,59.43.2435,36.333333333333336
470,59.43.2635,36.333333333333336
471,59.43.2765,35.0
472,59.43.2935,36.333333333333336
473,59.43.3095,36.333333333333336
474,59.43.3255,37.333333333333336
475,59.43.3544,37.0
476,59.43.3674,37.0
477,59.43.3884,37.0
478,59.43.4034,37.333333333333336
479,59.43.4204,37.666666666666664
480,59.43.4354,38.0
481,59.43.4504,38.0
482,59.43.4654,37.0
483,59.43.4774,37.0
484,59.43.4974,35.666666666666664
485,59.43.5144,36.666666666666664
486,59.43.5293,36.666666666666664
487,59.43.5453,37.0
488,59.43.5623,37.0
489,59.43.5783,36.0
490,59.43.5923,36.666666666666664
491,59.43.6083,36.666666666666664
492,59.43.6223,37.333333333333336
493,59.43.6383,37.333333333333336
494,59.43.6593,37.0
495,59.43.6833,37.0
496,59.43.6982,37.0
497,59.43.7092,37.0
498,59.43.7302,37.0
499,59.43.7472,37.0
500,59.43.7712,37.333333333333336
501,59.43.7822,37.666666666666664
502,59.43.7942,38.0
503,59.43.8102,37.666666666666664
504,59.43.8262,37.666666666666664
505,59.43.8422,37.666666666666664
506,59.43.8671,37.666666666666664
507,59.43.8911,37.666666666666664
508,59.43.9071,37.666666666666664
509,59.43.9221,38.0
510,59.43.9391,38.0
511,59.43.9551,37.666666666666664
512,59.43.9711,37.666666666666664
513,59.43.9831,37.333333333333336
514,59.44.0011,37.666666666666664
515,59.44.0161,37.333333333333336
516,59.44.0281,37.666666666666664
517,59.44.0480,38.0
518,59.44.0600,37.333333333333336
519,59.44.0790,37.0
520,59.44.0940,37.666666666666664
521,59.44.1100,37.333333333333336
522,59.44.1260,37.666666666666664
523,59.44.1390,36.333333333333336
524,59.44.1580,37.666666666666664
525,59.44.1740,37.333333333333336
526,59.44.1860,38.666666666666664
527,59.44.2070,38.666666666666664
528,59.44.2229,39.0
529,59.44.2509,37.0
530,59.44.2709,37.0
531,59.44.2859,37.0
532,59.44.3029,36.666666666666664
533,59.44.3199,36.666666666666664
534,59.44.3339,36.333333333333336
535,59.44.3479,37.666666666666664
536,59.44.3649,37.333333333333336
537,59.44.3759,37.666666666666664
538,59.44.3938,37.333333333333336
539,59.44.4108,37.333333333333336
540,59.44.4258,37.0
541,59.44.4428,37.0
542,59.44.4588,37.0
543,59.44.4738,37.0
544,59.44.4908,37.0
545,59.44.5068,37.0
546,59.44.5228,37.0
547,59.44.5548,36.0
548,59.44.5667,36.333333333333336
549,59.44.5877,36.666666666666664
550,59.44.6017,37.666666666666664
551,59.44.6187,37.333333333333336
552,59.44.6337,37.0
553,59.44.6507,37.0
554,59.44.6657,37.0
555,59.44.6827,37.333333333333336
556,59.44.6987,37.333333333333336
557,59.44.7097,37.333333333333336
558,59.44.7297,37.0
559,59.44.7456,37.0
560,59.44.7626,37.333333333333336
561,59.44.7746,36.333333333333336
562,59.44.7946,33.0
563,59.44.8086,29.0
564,59.44.8246,26.333333333333332
565,59.44.8396,26.333333333333332
566,59.44.8566,26.666666666666668
567,59.44.8716,25.666666666666668
