Record #:  1,,,
Notes :,,,
Chandrika-40,Normal,,
Spontaneous blinks ~ 5 mins,,,
Electrode placement: 1,,,
Ch1,Ch2- vertical channel,Ch3-Hrzontal (L- positive,R - negative)
LPF: order= 4,Cut-off:15 Hz,,
Only one common reference for Ch-A and Ch-B,,,
250SPS,,,
,,,
,,,
6/21/20224:17:39 PMRecord #:  1,,,
Notes :,,,
Chandrika-40,Normal,,
Spontaneous blinks ~ 5 mins,,,
Electrode placement: 1,,,
Ch1,Ch2- vertical channel,Ch3-Hrzontal (L- positive,R - negative)
LPF: order= 4,Cut-off:15 Hz,,
Only one common reference for Ch-A and Ch-B,,,
250SPS,,,
,,,
,,,
6/21/20224:17:39 PM,,,
Volts Data,,,
,,,
CH1	CH2	CH3,,,
-4.580386E-3	-13.396114E-3	-1.002945E-3,,,
-4.577972E-3	-13.392225E-3	-1.001760E-3,,,
-4.576564E-3	-13.385653E-3	-1.001090E-3,,,
-4.575804E-3	-13.383798E-3	-1.001649E-3,,,
-4.574060E-3	-13.387039E-3	-1.002833E-3,,,
-4.570328E-3	-13.388380E-3	-1.003213E-3,,,
-4.565366E-3	-13.383195E-3	-1.002185E-3,,,
-4.560716E-3	-13.375819E-3	-1.000665E-3,,,
-4.557006E-3	-13.373673E-3	-999.793410E-6,,,
-4.553519E-3	-13.377249E-3	-999.525189E-6,,,
-4.549719E-3	-13.379574E-3	-999.145210E-6,,,
-4.546300E-3	-13.375841E-3	-998.742878E-6,,,
-4.544310E-3	-13.370119E-3	-999.636948E-6,,,
-4.543439E-3	-13.369672E-3	-1.003101E-3,,,
-4.542209E-3	-13.374813E-3	-1.008846E-3,,,
-4.539594E-3	-13.378479E-3	-1.015596E-3,,,
-4.536308E-3	-13.375908E-3	-1.022637E-3,,,
-4.533783E-3	-13.371147E-3	-1.030505E-3,,,
-4.532173E-3	-13.371348E-3	-1.039602E-3,,,
-4.530117E-3	-13.376780E-3	-1.049012E-3,,,
-4.526719E-3	-13.380311E-3	-1.057081E-3,,,
-4.522897E-3	-13.377249E-3	-1.063339E-3,,,
-4.520372E-3	-13.371840E-3	-1.068972E-3,,,
-4.519500E-3	-13.371348E-3	-1.075342E-3,,,
-4.519120E-3	-13.376288E-3	-1.082271E-3,,,
-4.518203E-3	-13.379842E-3	-1.088597E-3,,,
-4.517242E-3	-13.377540E-3	-1.094051E-3,,,
-4.517309E-3	-13.373516E-3	-1.099661E-3,,,
-4.518203E-3	-13.374701E-3	-1.106277E-3,,,
-4.518516E-3	-13.380982E-3	-1.113206E-3,,,
-4.517600E-3	-13.385072E-3	-1.118973E-3,,,
-4.516661E-3	-13.382412E-3	-1.123309E-3,,,
-4.517354E-3	-13.377428E-3	-1.127355E-3,,,
-4.519701E-3	-13.377652E-3	-1.132116E-3,,,
-4.521981E-3	-13.383508E-3	-1.137123E-3,,,
-4.522763E-3	-13.388090E-3	-1.140967E-3,,,
-4.522182E-3	-13.386883E-3	-1.143381E-3,,,
-4.521355E-3	-13.384089E-3	-1.145594E-3,,,
-4.520506E-3	-13.386615E-3	-1.148745E-3,,,
-4.518963E-3	-13.394348E-3	-1.152344E-3,,,
-4.516281E-3	-13.399981E-3	-1.154847E-3,,,
-4.513420E-3	-13.398886E-3	-1.155719E-3,,,
-4.511677E-3	-13.395108E-3	-1.156032E-3,,,
-4.511096E-3	-13.395555E-3	-1.156949E-3,,,
-4.510291E-3	-13.400272E-3	-1.158066E-3,,,
-4.508257E-3	-13.402462E-3	-1.157977E-3,,,
-4.505709E-3	-13.398305E-3	-1.156166E-3,,,
-4.503965E-3	-13.392761E-3	-1.153596E-3,,,
-4.503071E-3	-13.393097E-3	-1.151495E-3,,,
-4.501864E-3	-13.399199E-3	-1.149684E-3,,,
-4.499674E-3	-13.403557E-3	-1.147248E-3,,,
-4.497461E-3	-13.401501E-3	-1.144096E-3,,,
-4.496500E-3	-13.397187E-3	-1.141526E-3,,,
-4.496701E-3	-13.397656E-3	-1.140676E-3,,,
-4.496589E-3	-13.402976E-3	-1.140989E-3,,,
-4.495315E-3	-13.406329E-3	-1.140833E-3,,,
-4.493639E-3	-13.403758E-3	-1.139626E-3,,,
-4.492812E-3	-13.399892E-3	-1.138330E-3,,,
-4.492879E-3	-13.401501E-3	-1.138128E-3,,,
-4.492722E-3	-13.407871E-3	-1.138642E-3,,,
-4.491627E-3	-13.411447E-3	-1.138575E-3,,,
-4.490085E-3	-13.407849E-3	-1.137458E-3,,,
-4.489034E-3	-13.401769E-3	-1.136139E-3,,,
