Record #:  2,,,
Notes :,,,
Sirisha – 39 – F,Normal,,
Partial blinks ~ 3 mins,,,
Electrode placement: 1,,,
Ch1,Ch2- vertical channel,Ch3-Hrzontal (L- positive,R – negative)
LPF: order= 4,Cut-off:15 Hz,,
Only one common reference for Ch-A and Ch-B,,,
SPS:256,,,
,,,
,,,
6/21/20225:42:56 PMRecord #:  2,,,
Notes :,,,
Sirisha – 39 – F,Normal,,
Partial blinks ~ 3 mins,,,
Electrode placement: 1,,,
Ch1,Ch2- vertical channel,Ch3-Hrzontal (L- positive,R – negative)
LPF: order= 4,Cut-off:15 Hz,,
Only one common reference for Ch-A and Ch-B,,,
SPS:256,,,
,,,
,,,
6/21/20225:42:56 PM,,,
Volts Data,,,
,,,
CH1	CH2	CH3,,,
-11.059128E-3	-33.438675E-3	-18.746696E-3,,,
-11.047460E-3	-33.434965E-3	-18.746987E-3,,,
-11.021957E-3	-33.429287E-3	-18.746853E-3,,,
-10.990910E-3	-33.426516E-3	-18.748015E-3,,,
-10.958992E-3	-33.426091E-3	-18.750720E-3,,,
-10.928258E-3	-33.423677E-3	-18.752955E-3,,,
-10.901347E-3	-33.417888E-3	-18.752821E-3,,,
-10.882214E-3	-33.412747E-3	-18.750921E-3,,,
-10.873117E-3	-33.412345E-3	-18.749647E-3,,,
-10.872200E-3	-33.415295E-3	-18.749893E-3,,,
-10.875486E-3	-33.416435E-3	-18.750116E-3,,,
-10.880716E-3	-33.413798E-3	-18.748641E-3,,,
-10.888427E-3	-33.411026E-3	-18.746071E-3,,,
-10.898910E-3	-33.412144E-3	-18.744595E-3,,,
-10.909773E-3	-33.415876E-3	-18.744931E-3,,,
-10.917552E-3	-33.417262E-3	-18.745445E-3,,,
-10.921240E-3	-33.414446E-3	-18.744349E-3,,,
-10.923050E-3	-33.411205E-3	-18.742293E-3,,,
-10.925107E-3	-33.411629E-3	-18.741421E-3,,,
-10.926738E-3	-33.414558E-3	-18.742427E-3,,,
-10.925911E-3	-33.415295E-3	-18.743590E-3,,,
-10.922581E-3	-33.412188E-3	-18.743031E-3,,,
-10.919362E-3	-33.409059E-3	-18.741421E-3,,,
-10.918312E-3	-33.410043E-3	-18.740885E-3,,,
-10.918535E-3	-33.413842E-3	-18.742226E-3,,,
-10.917619E-3	-33.415630E-3	-18.743746E-3,,,
-10.915138E-3	-33.413552E-3	-18.743634E-3,,,
-10.913417E-3	-33.411138E-3	-18.742472E-3,,,
-10.914288E-3	-33.412300E-3	-18.742338E-3,,,
-10.916613E-3	-33.415876E-3	-18.743947E-3,,,
-10.917820E-3	-33.417284E-3	-18.745691E-3,,,
-10.917239E-3	-33.414960E-3	-18.745847E-3,,,
-10.916881E-3	-33.412412E-3	-18.744953E-3,,,
-10.918334E-3	-33.413440E-3	-18.745065E-3,,,
-10.920525E-3	-33.416681E-3	-18.746808E-3,,,
-10.921016E-3	-33.417508E-3	-18.748485E-3,,,
-10.919519E-3	-33.414334E-3	-18.748440E-3,,,
-10.918334E-3	-33.411026E-3	-18.747300E-3,,,
-10.919362E-3	-33.411451E-3	-18.747166E-3,,,
-10.921374E-3	-33.414222E-3	-18.748619E-3,,,
-10.921732E-3	-33.414423E-3	-18.749826E-3,,,
-10.919943E-3	-33.410423E-3	-18.748999E-3,,,
-10.918379E-3	-33.406243E-3	-18.746898E-3,,,
-10.918938E-3	-33.406064E-3	-18.745847E-3,,,
-10.920547E-3	-33.408590E-3	-18.746674E-3,,,
-10.920614E-3	-33.408947E-3	-18.747702E-3,,,
-10.918826E-3	-33.405662E-3	-18.747166E-3,,,
-10.917597E-3	-33.402890E-3	-18.745758E-3,,,
-10.918826E-3	-33.404768E-3	-18.745691E-3,,,
-10.921240E-3	-33.409663E-3	-18.747523E-3,,,
-10.922067E-3	-33.412345E-3	-18.749334E-3,,,
-10.920860E-3	-33.410847E-3	-18.749177E-3,,,
-10.919966E-3	-33.409081E-3	-18.747725E-3,,,
-10.921262E-3	-33.411071E-3	-18.747233E-3,,,
-10.923453E-3	-33.415250E-3	-18.748440E-3,,,
-10.923855E-3	-33.416569E-3	-18.749557E-3,,,
-10.922089E-3	-33.413351E-3	-18.748842E-3,,,
-10.920592E-3	-33.409730E-3	-18.747032E-3,,,
-10.921374E-3	-33.409953E-3	-18.746428E-3,,,
-10.923252E-3	-33.412613E-3	-18.747725E-3,,,
-10.923564E-3	-33.412814E-3	-18.749088E-3,,,
-10.921910E-3	-33.408992E-3	-18.748708E-3,,,
-10.920703E-3	-33.405215E-3	-18.747143E-3,,,
-10.921776E-3	-33.405595E-3	-18.746562E-3,,,
-10.924011E-3	-33.408746E-3	-18.747613E-3,,,
-10.924838E-3	-33.409730E-3	-18.748507E-3,,,
-10.923855E-3	-33.406869E-3	-18.747501E-3,,,
-10.923386E-3	-33.404008E-3	-18.745288E-3,,,
-10.925263E-3	-33.405058E-3	-18.743992E-3,,,
-10.928258E-3	-33.408567E-3	-18.744282E-3,,,
-10.929845E-3	-33.409685E-3	-18.744528E-3,,,
-10.929465E-3	-33.406779E-3	-18.743098E-3,,,
-10.929242E-3	-33.403471E-3	-18.740706E-3,,,
-10.930918E-3	-33.403672E-3	-18.739454E-3,,,
-10.933399E-3	-33.406243E-3	-18.740036E-3,,,
-10.934360E-3	-33.406802E-3	-18.740907E-3,,,
-10.933466E-3	-33.404075E-3	-18.740483E-3,,,
-10.932930E-3	-33.401772E-3	-18.739454E-3,,,
-10.934316E-3	-33.403493E-3	-18.739723E-3,,,
-10.936327E-3	-33.407427E-3	-18.741556E-3,,,
-10.936439E-3	-33.408545E-3	-18.742986E-3,,,
-10.934450E-3	-33.405438E-3	-18.742114E-3,,,
-10.932863E-3	-33.402175E-3	-18.739745E-3,,,
-10.933556E-3	-33.402868E-3	-18.738069E-3,,,
-10.935389E-3	-33.406109E-3	-18.737867E-3,,,
-10.935947E-3	-33.407114E-3	-18.737420E-3,,,
-10.934919E-3	-33.404455E-3	-18.735185E-3,,,
-10.934651E-3	-33.402063E-3	-18.732056E-3,,,
-10.936797E-3	-33.403851E-3	-18.730335E-3,,,
-10.939948E-3	-33.408187E-3	-18.730782E-3,,,
-10.941334E-3	-33.410154E-3	-18.731698E-3,,,
-10.940418E-3	-33.408120E-3	-18.731274E-3,,,
-10.939367E-3	-33.405729E-3	-18.730089E-3,,,
-10.939881E-3	-33.406712E-3	-18.730000E-3,,,
-10.941066E-3	-33.409752E-3	-18.731497E-3,,,
-10.940731E-3	-33.410400E-3	-18.732816E-3,,,
-10.938719E-3	-33.407271E-3	-18.732347E-3,,,
-10.937244E-3	-33.403829E-3	-18.730693E-3,,,
-10.937959E-3	-33.403538E-3	-18.729798E-3,,,
-10.939702E-3	-33.404969E-3	-18.730111E-3,,,
-10.940194E-3	-33.403784E-3	-18.729977E-3,,,
-10.939389E-3	-33.399135E-3	-18.727921E-3,,,
-10.939769E-3	-33.395603E-3	-18.724926E-3,,,
-10.943145E-3	-33.397369E-3	-18.723473E-3,,,
-10.947905E-3	-33.402465E-3	-18.724211E-3,,,
-10.951012E-3	-33.405192E-3	-18.725105E-3,,,
-10.951884E-3	-33.403650E-3	-18.724211E-3,,,
-10.952979E-3	-33.402130E-3	-18.722266E-3,,,
-10.956086E-3	-33.404946E-3	-18.721618E-3,,,
-10.959551E-3	-33.410154E-3	-18.722914E-3,,,
-10.960333E-3	-33.412032E-3	-18.724054E-3,,,
-10.958031E-3	-33.408947E-3	-18.723026E-3,,,
-10.955460E-3	-33.405684E-3	-18.720657E-3,,,
-10.954678E-3	-33.406846E-3	-18.719517E-3,,,
-10.954209E-3	-33.410557E-3	-18.720344E-3,,,
-10.950901E-3	-33.410892E-3	-18.721104E-3,,,
-10.944195E-3	-33.405975E-3	-18.719807E-3,,,
-10.936774E-3	-33.400230E-3	-18.717371E-3,,,
-10.930650E-3	-33.397861E-3	-18.716432E-3,,,
-10.924123E-3	-33.396386E-3	-18.717796E-3,,,
-10.913596E-3	-33.389524E-3	-18.719450E-3,,,
-10.897905E-3	-33.375241E-3	-18.719360E-3,,,
-10.878950E-3	-33.358075E-3	-18.718399E-3,,,
-10.857850E-3	-33.342406E-3	-18.719070E-3,,,
-10.832414E-3	-33.326022E-3	-18.721931E-3,,,
-10.799222E-3	-33.303045E-3	-18.724814E-3,,,
-10.758005E-3	-33.271909E-3	-18.725708E-3,,,
-10.712072E-3	-33.237666E-3	-18.725574E-3,,,
-10.664418E-3	-33.205435E-3	-18.726893E-3,,,
-10.614797E-3	-33.174075E-3	-18.730178E-3,,,
-10.561667E-3	-33.138826E-3	-18.733107E-3,,,
-10.506280E-3	-33.099242E-3	-18.733509E-3,,,
-10.453127E-3	-33.061288E-3	-18.732235E-3,,,
-10.405742E-3	-33.030465E-3	-18.731833E-3,,,
-10.363989E-3	-33.005610E-3	-18.732950E-3,,,
-10.325857E-3	-32.981403E-3	-18.733554E-3,,,
-10.291547E-3	-32.956503E-3	-18.731788E-3,,,
-10.263942E-3	-32.935515E-3	-18.728659E-3,,,
-10.244653E-3	-32.922573E-3	-18.726602E-3,,,
-10.231555E-3	-32.915242E-3	-18.726110E-3,,,
-10.221027E-3	-32.907531E-3	-18.724903E-3,,,
-10.212354E-3	-32.897942E-3	-18.720992E-3,,,
-10.207906E-3	-32.891326E-3	-18.715337E-3,,,
-10.209270E-3	-32.892153E-3	-18.710554E-3,,,
-10.214567E-3	-32.898210E-3	-18.707223E-3,,,
-10.220736E-3	-32.903597E-3	-18.703289E-3,,,
-10.227531E-3	-32.906704E-3	-18.697076E-3,,,
-10.237791E-3	-32.912269E-3	-18.689834E-3,,,
-10.253370E-3	-32.924473E-3	-18.684514E-3,,,
-10.272391E-3	-32.940790E-3	-18.681988E-3,,,
-10.291524E-3	-32.955118E-3	-18.680334E-3,,,
-10.310143E-3	-32.965712E-3	-18.677898E-3,,,
-10.330640E-3	-32.977179E-3	-18.675752E-3,,,
-10.354444E-3	-32.993652E-3	-18.676467E-3,,,
-10.379344E-3	-33.012450E-3	-18.680379E-3,,,
-10.401875E-3	-33.027358E-3	-18.684894E-3,,,
-10.421589E-3	-33.036791E-3	-18.687733E-3,,,
-10.441214E-3	-33.045776E-3	-18.689588E-3,,,
-10.462604E-3	-33.058740E-3	-18.692784E-3,,,
-10.483995E-3	-33.073425E-3	-18.697612E-3,,,
-10.502301E-3	-33.083931E-3	-18.701613E-3,,,
-10.517389E-3	-33.089027E-3	-18.702731E-3,,,
-10.532364E-3	-33.094011E-3	-18.702105E-3,,,
-10.549285E-3	-33.103533E-3	-18.702440E-3,,,
-10.566518E-3	-33.115335E-3	-18.704385E-3,,,
-10.581113E-3	-33.123516E-3	-18.705748E-3,,,
-10.593094E-3	-33.126935E-3	-18.704608E-3,,,
-10.605522E-3	-33.130914E-3	-18.702194E-3,,,
-10.620430E-3	-33.140033E-3	-18.701211E-3,,,
-10.635942E-3	-33.151790E-3	-18.702284E-3,,,
-10.648973E-3	-33.160083E-3	-18.703133E-3,,,
-10.659412E-3	-33.163548E-3	-18.701859E-3,,,
-10.670252E-3	-33.167459E-3	-18.699579E-3,,,
-10.683373E-3	-33.176333E-3	-18.698841E-3,,,
-10.696873E-3	-33.187576E-3	-18.700071E-3,,,
-10.707557E-3	-33.195108E-3	-18.700786E-3,,,
-10.715403E-3	-33.197723E-3	-18.699065E-3,,,
-10.723449E-3	-33.200763E-3	-18.696070E-3,,,
-10.733686E-3	-33.208832E-3	-18.694617E-3,,,
-10.744303E-3	-33.219315E-3	-18.695354E-3,,,
-10.752261E-3	-33.226088E-3	-18.695980E-3,,,
-10.757580E-3	-33.228010E-3	-18.694684E-3,,,
-10.763481E-3	-33.230491E-3	-18.692672E-3,,,
-10.772020E-3	-33.238046E-3	-18.692605E-3,,,
-10.781318E-3	-33.247903E-3	-18.694863E-3,,,
-10.788269E-3	-33.253849E-3	-18.696941E-3,,,
-10.792851E-3	-33.254743E-3	-18.696763E-3,,,
-10.798171E-3	-33.256263E-3	-18.695399E-3,,,
-10.806151E-3	-33.263035E-3	-18.695489E-3,,,
-10.814779E-3	-33.272378E-3	-18.697388E-3,,,
-10.820813E-3	-33.278055E-3	-18.698595E-3,,,
-10.824166E-3	-33.278838E-3	-18.697187E-3,,,
-10.827966E-3	-33.280268E-3	-18.694416E-3,,,
-10.834135E-3	-33.286750E-3	-18.693119E-3,,,
-10.840729E-3	-33.295467E-3	-18.693790E-3,,,
-10.844640E-3	-33.300050E-3	-18.694058E-3,,,
-10.845982E-3	-33.299401E-3	-18.692046E-3,,,
-10.847993E-3	-33.299200E-3	-18.689141E-3,,,
